User_Id,Place_Id,Nama Tempat,Place_Rating
1,2,Agung Bali Oleh-Oleh,3
1,7,Aloha Ubud Swing,5
1,8,Bali Bird Park,5
1,12,Big Garden Corner,2
1,13,Wanagiri Hidden Hills,5
1,19,Desa Celuk,5
1,23,Goa Gajah,4
1,25,Gunung Batur,5
1,31,Kintamani Highland,5
1,33,Sacred Monkey Forest Sanctuary,4
1,35,Desa Wisata Penglipuran,4
1,36,Pantai Angel's Billabong,3
1,37,Pantai Atuh,4
1,38,Pantai Blue Lagoon,4
1,39,Pantai Canggu,3
1,40,Crystal Bay,4
1,41,Pantai Diamond,5
1,43,Pantai Dreamland,3
1,45,Pantai Kuta,4
1,46,Pantai Melasti,3
1,47,Pantai Nusa Dua,3
1,48,Pantai Padang Padang,3
1,49,Pantai Pandawa,4
1,50,Pantai Pasih Uug,5
1,51,White Sand Beach,5
1,52,Puseh Batuan Temple,2
1,58,Gunung Kawi Sebatu Temple,5
1,59,Pura Kehen,1
1,67,Mas Carving Center,5
1,68,Watersport Tanjung Benoa Bali,5
2,2,Agung Bali Oleh-Oleh,3
2,3,Wisata Air Panas Toya Bungkah,5
2,5,Air Terjun Tegenungan,2
2,6,Air Terjun Tukad Cepung,3
2,7,Aloha Ubud Swing,5
2,8,Bali Bird Park,5
2,10,Bali Swing,5
2,11,Batik Koleksi Sari Amerta,3
2,13,Wanagiri Hidden Hills,5
2,18,Desa Budaya Kertalangu,3
2,22,Garuda Wisnu Kencana,4
2,30,Pabrik Kata-Kata Joger,3
2,31,Kintamani Highland,5
2,32,Krisna Oleh-Oleh,4
2,35,Desa Wisata Penglipuran,5
2,37,Pantai Atuh,5
2,38,Pantai Blue Lagoon,4
2,40,Crystal Bay,4
2,41,Pantai Diamond,5
2,45,Pantai Kuta,4
2,47,Pantai Nusa Dua,5
2,49,Pantai Pandawa,2
2,50,Pantai Pasih Uug,5
2,53,Pantai Sanur,5
2,55,Pantai Waterblow,5
2,57,Besakih Temple,1
2,64,Pura Tanah Lot,5
2,70,Kecak & Fire Dance,5
2,71,Teras Sawah Tegalalang,5
2,72,Tirta Gangga,5
3,1,Satria Agrowisata,4
3,2,Agung Bali Oleh-Oleh,5
3,4,Air Terjun Aling-Aling,5
3,6,Air Terjun Tukad Cepung,1
3,8,Bali Bird Park,5
3,9,Handara Iconic Gate,4
3,11,Batik Koleksi Sari Amerta,3
3,13,Wanagiri Hidden Hills,4
3,15,Danau Batur,5
3,17,Danau Tamblingan,5
3,18,Desa Budaya Kertalangu,3
3,19,Desa Celuk,3
3,20,Desa Tohpati,4
3,22,Garuda Wisnu Kencana,5
3,29,Jimbaran Bay,5
3,33,Sacred Monkey Forest Sanctuary,5
3,35,Desa Wisata Penglipuran,5
3,36,Pantai Angel's Billabong,5
3,37,Pantai Atuh,5
3,41,Pantai Diamond,5
3,44,Pantai Kelingking,5
3,49,Pantai Pandawa,5
3,55,Pantai Waterblow,5
3,56,Ubud Traditional Art Market,5
3,60,Pura Lempuyang,5
3,64,Pura Tanah Lot,5
3,67,Mas Carving Center,5
3,68,Watersport Tanjung Benoa Bali,5
3,69,Barong & Kris Dance,5
3,73,Waterbom Bali,5
4,1,Satria Agrowisata,4
4,3,Wisata Air Panas Toya Bungkah,3
4,4,Air Terjun Aling-Aling,5
4,8,Bali Bird Park,1
4,10,Bali Swing,5
4,16,Danau Beratan,5
4,17,Danau Tamblingan,4
4,20,Desa Tohpati,5
4,25,Gunung Batur,5
4,27,Puri Saren Palace,4
4,29,Jimbaran Bay,3
4,37,Pantai Atuh,4
4,38,Pantai Blue Lagoon,4
4,40,Crystal Bay,2
4,42,Pantai Double Six,5
4,43,Pantai Dreamland,5
4,45,Pantai Kuta,5
4,46,Pantai Melasti,5
4,47,Pantai Nusa Dua,5
4,48,Pantai Padang Padang,3
4,51,White Sand Beach,5
4,52,Puseh Batuan Temple,5
4,53,Pantai Sanur,5
4,54,Pantai Seminyak,5
4,63,Pura Taman Ayun,3
4,64,Pura Tanah Lot,5
4,65,Pura Tirta Empul,5
4,67,Mas Carving Center,5
4,71,Teras Sawah Tegalalang,5
4,73,Waterbom Bali,5
5,1,Satria Agrowisata,1
5,3,Wisata Air Panas Toya Bungkah,5
5,5,Air Terjun Tegenungan,4
5,10,Bali Swing,5
5,12,Big Garden Corner,5
5,13,Wanagiri Hidden Hills,5
5,15,Danau Batur,5
5,17,Danau Tamblingan,5
5,19,Desa Celuk,3
5,21,Galeri Seni Semar Kuning,5
5,22,Garuda Wisnu Kencana,3
5,24,Gunung Agung,5
5,27,Puri Saren Palace,5
5,29,Jimbaran Bay,5
5,30,Pabrik Kata-Kata Joger,4
5,32,Krisna Oleh-Oleh,1
5,33,Sacred Monkey Forest Sanctuary,3
5,34,Monumen Bajra Sandhi,4
5,36,Pantai Angel's Billabong,5
5,42,Pantai Double Six,5
5,44,Pantai Kelingking,5
5,46,Pantai Melasti,4
5,53,Pantai Sanur,5
5,58,Gunung Kawi Sebatu Temple,5
5,59,Pura Kehen,1
5,60,Pura Lempuyang,5
5,68,Watersport Tanjung Benoa Bali,5
5,69,Barong & Kris Dance,5
5,74,Alas Harum Agro Tourism,5
5,75,Wisata Agro Teba Sari Bali,5
6,1,Satria Agrowisata,4
6,2,Agung Bali Oleh-Oleh,3
6,8,Bali Bird Park,5
6,11,Batik Koleksi Sari Amerta,4
6,15,Danau Batur,4
6,19,Desa Celuk,4
6,23,Goa Gajah,2
6,25,Gunung Batur,5
6,26,Taman Ujung Water Palace,4
6,27,Puri Saren Palace,3
6,28,Jatiluwih Green Land,5
6,32,Krisna Oleh-Oleh,4
6,33,Sacred Monkey Forest Sanctuary,3
6,34,Monumen Bajra Sandhi,4
6,35,Desa Wisata Penglipuran,4
6,37,Pantai Atuh,5
6,39,Pantai Canggu,4
6,40,Crystal Bay,5
6,41,Pantai Diamond,5
6,42,Pantai Double Six,5
6,43,Pantai Dreamland,3
6,47,Pantai Nusa Dua,5
6,52,Puseh Batuan Temple,5
6,54,Pantai Seminyak,5
6,64,Pura Tanah Lot,5
6,66,Pura Uluwatu,3
6,70,Kecak & Fire Dance,5
6,72,Tirta Gangga,5
6,73,Waterbom Bali,5
6,75,Wisata Agro Teba Sari Bali,5
7,3,Wisata Air Panas Toya Bungkah,4
7,5,Air Terjun Tegenungan,4
7,7,Aloha Ubud Swing,5
7,8,Bali Bird Park,5
7,9,Handara Iconic Gate,2
7,12,Big Garden Corner,4
7,14,Campuhan Ridge Walk,2
7,16,Danau Beratan,5
7,18,Desa Budaya Kertalangu,4
7,19,Desa Celuk,5
7,26,Taman Ujung Water Palace,5
7,29,Jimbaran Bay,4
7,31,Kintamani Highland,4
7,32,Krisna Oleh-Oleh,4
7,33,Sacred Monkey Forest Sanctuary,4
7,34,Monumen Bajra Sandhi,4
7,35,Desa Wisata Penglipuran,4
7,40,Crystal Bay,5
7,41,Pantai Diamond,5
7,45,Pantai Kuta,3
7,48,Pantai Padang Padang,5
7,54,Pantai Seminyak,5
7,56,Ubud Traditional Art Market,5
7,57,Besakih Temple,5
7,59,Pura Kehen,1
7,63,Pura Taman Ayun,3
7,67,Mas Carving Center,5
7,68,Watersport Tanjung Benoa Bali,5
7,72,Tirta Gangga,5
7,75,Wisata Agro Teba Sari Bali,5
8,2,Agung Bali Oleh-Oleh,5
8,5,Air Terjun Tegenungan,5
8,7,Aloha Ubud Swing,5
8,9,Handara Iconic Gate,5
8,12,Big Garden Corner,4
8,20,Desa Tohpati,4
8,22,Garuda Wisnu Kencana,4
8,23,Goa Gajah,4
8,25,Gunung Batur,5
8,28,Jatiluwih Green Land,5
8,32,Krisna Oleh-Oleh,4
8,35,Desa Wisata Penglipuran,5
8,37,Pantai Atuh,1
8,40,Crystal Bay,4
8,41,Pantai Diamond,5
8,43,Pantai Dreamland,1
8,45,Pantai Kuta,4
8,46,Pantai Melasti,4
8,47,Pantai Nusa Dua,4
8,48,Pantai Padang Padang,5
8,50,Pantai Pasih Uug,3
8,52,Puseh Batuan Temple,5
8,55,Pantai Waterblow,5
8,56,Ubud Traditional Art Market,5
8,57,Besakih Temple,5
8,61,Pura Luhur Batukaru,5
8,62,Pura Saraswati,3
8,66,Pura Uluwatu,3
8,71,Teras Sawah Tegalalang,5
8,73,Waterbom Bali,5
9,1,Satria Agrowisata,4
9,2,Agung Bali Oleh-Oleh,5
9,4,Air Terjun Aling-Aling,5
9,5,Air Terjun Tegenungan,4
9,6,Air Terjun Tukad Cepung,5
9,7,Aloha Ubud Swing,5
9,10,Bali Swing,5
9,14,Campuhan Ridge Walk,5
9,16,Danau Beratan,3
9,18,Desa Budaya Kertalangu,4
9,25,Gunung Batur,5
9,33,Sacred Monkey Forest Sanctuary,5
9,38,Pantai Blue Lagoon,3
9,40,Crystal Bay,3
9,44,Pantai Kelingking,3
9,46,Pantai Melasti,5
9,48,Pantai Padang Padang,4
9,49,Pantai Pandawa,1
9,54,Pantai Seminyak,5
9,57,Besakih Temple,5
9,58,Gunung Kawi Sebatu Temple,5
9,60,Pura Lempuyang,5
9,61,Pura Luhur Batukaru,5
9,62,Pura Saraswati,3
9,64,Pura Tanah Lot,5
